ESTU,DESAFECCION_BRUTO,DESAFECCION_AJUSTADO,ANCLAJE,DESAFECCION_FINAL,MATERIAL_BRUTO,PRESION_AGENDA,N_MENCIONES_POL,N_MENCIONES_MAT,PCT_NINGUN_LIDER,PCT_NINGUN_PARTIDO,PCT_SIN_SIMPATIA,N_MUESTRA,PESO_TOTAL,FECHA
3124.0,23.62446581196581,43.28673359947566,15.314569536423841,20.381944444444443,48.27724358974359,0.4827724358974359,0.6546474358974359,1.2119391025641026,,,15.314569536423841,2496.0,2496.0,2016-01-01
3128.0,25.914716168953454,47.08037389695386,,25.914716168953454,47.69303201506591,0.4769303201506591,0.7122679580306699,1.21226795803067,,,,2478.0,2478.0,2016-02-01
3131.0,25.35468179975679,45.571696178313175,,25.35468179975679,47.23010403999459,0.4723010403999459,0.7077421970004053,1.2229428455614106,,,,2467.0,2467.0,2016-03-01
3134.0,25.609103078982592,46.09091590998015,17.642175176421752,22.50334672021419,46.961178045515396,0.46961178045515395,0.704417670682731,1.2140562248995983,,,17.642175176421752,2490.0,2490.0,2016-04-01
3138.0,26.100375738056897,45.82464134094569,,26.100375738056897,45.67901234567901,0.45679012345679015,0.7008856682769726,1.179549114331723,,,,2484.0,2484.0,2016-05-01
3142.0,25.281803542673106,45.02639845833003,,25.281803542673106,46.792807300053674,0.46792807300053674,0.6880032206119162,1.2008856682769726,,,,2484.0,2484.0,2016-06-01
3149.0,26.466639817425154,44.43315458195296,,26.466639817425154,43.39508658880386,0.43395086588803866,0.6975432944019332,1.1506242448650825,,,,2483.0,2483.0,2016-09-01
3156.0,26.99718988358089,45.041267821477,19.34809862097785,24.063963602301616,43.784290111066504,0.43784290111066504,0.7105580088317944,1.1637896427137695,,,19.34809862097785,2491.0,2491.0,2016-10-01
3159.0,23.730062994236697,43.06263038114309,,23.730062994236697,47.848813831926016,0.4784881383192602,0.650583031765179,1.23924406915963,,,,2487.0,2487.0,2016-11-01
3162.0,22.28980805623141,41.45720794852434,,22.28980805623141,49.04028115706948,0.4904028115706948,0.6188158961881589,1.2652068126520681,,,,2466.0,2466.0,2016-12-01
3164.0,21.961178045515393,39.93157043759453,20.873180873180875,21.473895582329316,48.460508701472556,0.48460508701472554,0.6012048192771084,1.251004016064257,,,20.873180873180875,2490.0,2490.0,2017-01-01
3168.0,23.810481168744136,42.59021286409652,,23.810481168744136,47.66787293928428,0.4766787293928428,0.6425412143144351,1.2428628870124647,,,,2487.0,2487.0,2017-02-01
3170.0,25.60648706607693,44.42592701560309,,25.60648706607693,45.04758075325023,0.4504758075325023,0.6891837555287494,1.1781262565339767,,,,2487.0,2487.0,2017-03-01
3173.0,24.531835205992508,42.44005769730193,20.965744944283944,23.127340823970034,45.10433386837881,0.4510433386837881,0.658908507223114,1.1641252006420546,,,20.965744944283944,2492.0,2492.0,2017-04-01
3175.0,29.191878445609785,49.21707189162482,,29.191878445609785,43.539061449509205,0.43539061449509203,0.7515127067365873,1.1561113352158128,,,,2479.0,2479.0,2017-05-01
3179.0,28.069823434991974,47.004327302084086,,28.069823434991974,43.43231674692348,0.4343231674692348,0.7307383627608347,1.1613162118780096,,,,2492.0,2492.0,2017-06-01
3183.0,26.88755020080321,45.4235653286302,18.556701030927837,23.626506024096386,43.621151271753675,0.4362115127175368,0.7032128514056225,1.1441767068273092,,,18.556701030927837,2490.0,2490.0,2017-07-01
3187.0,23.195669607056935,38.81914078804998,,23.195669607056935,43.13686180165732,0.43136861801657317,0.6226944667201283,1.1222935044105855,,,,2494.0,2494.0,2017-09-01
3191.0,22.18871464951079,35.32060675242806,20.89614740368509,21.633829245409462,40.08845999195818,0.4008845999195818,0.6103739445114595,1.0691596300763972,,,20.89614740368509,2487.0,2487.0,2017-10-01
3195.0,23.623421971528334,37.69035344308,,23.623421971528334,40.31694869728713,0.4031694869728713,0.6353746978243352,1.081788879935536,,,,2482.0,2482.0,2017-11-01
3199.0,24.19897684437264,40.23051996293888,,24.19897684437264,42.54846526655896,0.42548465266558966,0.6417609046849758,1.1296445880452342,,,,2476.0,2476.0,2017-12-01
3203.0,23.731664648095812,39.56209866621979,18.85076477883423,21.772305207912797,42.94173058807697,0.4294173058807697,0.635446104158256,1.1396851029471133,,,18.85076477883423,2477.0,2477.0,2018-01-01
3205.0,25.288281040493427,42.595388755125654,,25.288281040493427,43.98632341110217,0.4398632341110217,0.670152855993564,1.1749798873692678,,,,2486.0,2486.0,2018-02-01
3207.0,24.621519329548523,42.92285045267678,,24.621519329548523,46.10029737766964,0.4610029737766964,0.648418491484185,1.226682887266829,,,,2466.0,2466.0,2018-03-01
3210.0,27.101919437685858,45.10083126486523,21.515278359146087,24.790483914571503,43.03190051365233,0.4303190051365233,0.7007299270072993,1.1695052716950527,,,21.515278359146087,2466.0,2466.0,2018-04-01
3213.0,26.467822114738677,44.619336264098735,,26.467822114738677,43.75251914550584,0.4375251914550584,0.6912535268037082,1.1858121725110842,,,,2481.0,2481.0,2018-05-01
3217.0,25.16418710628602,42.47380938621874,,25.16418710628602,44.4645489880713,0.444645489880713,0.6566143948532368,1.199839163650985,,,,2487.0,2487.0,2018-06-01
3219.0,23.682092555331987,39.84323410413689,21.32838283828383,22.76727028839705,43.64185110663984,0.4364185110663984,0.6321931589537223,1.155734406438632,,,21.32838283828383,2485.0,2485.0,2018-07-01
3223.0,17.5695379093764,29.566892904638472,25.720658888126287,20.75930910722297,43.45558546433379,0.43455585464333785,0.4666890982503365,1.1416554508748318,,30.423940149625935,19.937150837988828,2972.0,2972.0,2018-09-01
3226.0,23.85917703778451,39.161657290838214,22.3433242506812,23.211122323130393,41.78158986433457,0.41781589864334573,0.6195761856710393,1.118735284224689,,28.464552903455647,15.851137146795313,2973.0,2973.0,2018-10-01
3231.0,24.080923559739965,39.54121732442118,23.86873920552677,23.930733019502355,41.6722707913024,0.416722707913024,0.636852723604573,1.1126429051782112,,28.089080459770116,18.526315789473685,2974.0,2974.0,2018-11-01
