ESTU,CCAA,SCORE_POLITICO_BRUTO,SCORE_MATERIAL_BRUTO,INDICE_ANCLAJE,INDICE_DESAFECCION_FINAL,N_MUESTRA,FECHA,CCAA_NOMBRE
3124.0,1.0,22.603244837758112,48.45132743362833,17.889908256880734,20.73008849557522,452,2016-01,Andalucía
3124.0,2.0,25.69444444444444,39.81481481481481,12.857142857142858,20.87962962962963,72,2016-01,Aragón
3124.0,3.0,23.4375,52.86458333333333,17.46031746031746,21.041666666666664,64,2016-01,Asturias
3124.0,4.0,24.842767295597483,46.54088050314464,19.23076923076923,22.452830188679247,53,2016-01,Baleares
3124.0,5.0,20.061728395061728,48.91975308641975,14.285714285714286,17.59259259259259,108,2016-01,Canarias
3124.0,6.0,22.549019607843135,47.549019607843135,12.903225806451612,19.607843137254903,34,2016-01,Cantabria
3124.0,7.0,21.091445427728612,47.78761061946903,11.818181818181818,17.315634218289084,113,2016-01,Castilla-La Mancha
3124.0,8.0,21.689497716894977,47.48858447488585,15.942028985507246,19.68036529680365,146,2016-01,Castilla y León
3124.0,9.0,28.764142732811145,44.38642297650131,11.87335092348285,22.13228894691036,383,2016-01,Cataluña
3124.0,10.0,24.575163398692805,49.6078431372549,13.492063492063492,20.130718954248366,255,2016-01,C. Valenciana
3124.0,11.0,16.927083333333332,61.71875000000001,9.375,13.90625,64,2016-01,Extremadura
3124.0,12.0,21.457085828343313,53.99201596806388,17.391304347826086,20.219560878243513,167,2016-01,Galicia
3124.0,13.0,25.0,45.73170731707317,16.346153846153847,21.504065040650406,328,2016-01,Madrid
3124.0,14.0,18.055555555555557,57.40740740740742,20.0,18.796296296296294,72,2016-01,Murcia
3124.0,15.0,21.90476190476191,57.61904761904761,20.58823529411765,21.333333333333332,35,2016-01,Navarra
3124.0,16.0,22.133333333333336,46.0,17.24137931034483,20.266666666666666,125,2016-01,País Vasco
3124.0,17.0,24.509803921568626,44.11764705882353,13.333333333333334,20.19607843137255,17,2016-01,La Rioja
3128.0,1.0,22.69031781226903,48.891352549889135,,22.69031781226903,451,2016-02,Andalucía
3128.0,2.0,27.77777777777778,45.138888888888886,,27.77777777777778,72,2016-02,Aragón
3128.0,3.0,28.64583333333333,50.26041666666667,,28.64583333333333,64,2016-02,Asturias
3128.0,4.0,32.05128205128205,44.23076923076923,,32.05128205128205,52,2016-02,Baleares
3128.0,5.0,15.58641975308642,54.01234567901234,,15.58641975308642,108,2016-02,Canarias
3128.0,6.0,29.901960784313722,47.54901960784314,,29.901960784313722,34,2016-02,Cantabria
3128.0,7.0,27.138643067846605,48.96755162241888,,27.138643067846605,113,2016-02,Castilla-La Mancha
3128.0,8.0,24.712643678160916,46.32183908045977,,24.712643678160916,145,2016-02,Castilla y León
3128.0,9.0,27.632724107919927,42.51523063533507,,27.632724107919927,383,2016-02,Cataluña
3128.0,10.0,28.818061088977423,49.00398406374502,,28.818061088977423,251,2016-02,C. Valenciana
3128.0,11.0,22.916666666666664,59.895833333333336,,22.916666666666664,64,2016-02,Extremadura
3128.0,12.0,25.50200803212851,50.803212851405625,,25.50200803212851,166,2016-02,Galicia
