FECHA,Andalucía,Aragón,Asturias,Baleares,C. Valenciana,Canarias,Cantabria,Castilla y León,Castilla-La Mancha,Cataluña,Extremadura,Galicia,La Rioja,Madrid,Murcia,Navarra,País Vasco
2016-01-01,20.73008849557522,20.87962962962963,21.041666666666664,22.452830188679247,20.130718954248366,17.59259259259259,19.607843137254903,17.315634218289084,19.68036529680365,22.13228894691036,13.90625,20.219560878243513,20.19607843137255,21.504065040650406,18.796296296296294,21.333333333333332,20.266666666666666
2016-02-01,22.69031781226903,27.77777777777778,28.64583333333333,32.05128205128205,28.818061088977423,15.58641975308642,29.901960784313722,27.138643067846605,24.712643678160916,27.632724107919927,22.916666666666664,25.50200803212851,22.54901960784313,28.50467289719626,26.388888888888886,31.25,23.866666666666664
2016-03-01,25.12934220251293,27.546296296296294,26.5625,37.10691823899371,24.183006535947715,21.682847896440126,22.54901960784313,29.35103244837758,25.11415525114155,27.137870855148346,18.75,21.98364008179959,25.49019607843137,27.70632368703108,22.769953051643192,28.09523809523809,19.066666666666663
2016-04-01,19.260901699926087,25.324074074074073,28.59375,31.32075471698113,23.043478260869566,22.484276729559745,17.941176470588236,21.091445427728612,20.296803652968034,24.708442123585723,17.916666666666664,24.27145708582834,16.875,23.241869918699187,17.22222222222222,25.428571428571427,23.973333333333333
2016-05-01,24.188790560471972,33.56481481481482,28.385416666666664,33.33333333333333,27.050264550264547,22.477064220183482,24.509803921568626,27.38095238095238,21.803652968036527,26.334208223972,20.833333333333332,28.629856850715743,29.41176470588235,28.578732106339466,21.064814814814813,33.823529411764696,23.599999999999998
2016-06-01,23.851851851851848,23.611111111111107,21.875,18.82716049382716,26.6798418972332,21.253822629969417,23.039215686274506,24.024024024024023,26.36986301369863,27.039930555555554,17.708333333333332,26.930894308943085,29.166666666666664,28.476482617586907,17.37089201877934,34.28571428571428,26.964769647696475
2016-09-01,25.974981604120675,26.620370370370367,28.125,23.456790123456788,26.851851851851844,23.83177570093458,23.039215686274506,23.547400611620795,25.057471264367813,27.83595113438045,18.229166666666664,25.971370143149283,25.49019607843137,28.636363636363637,22.222222222222218,31.9047619047619,31.420765027322403
2016-10-01,24.424778761061948,22.5,24.84375,29.62962962962963,22.70341207349081,21.666666666666668,30.196078431372545,20.87878787878788,25.28735632183908,28.458874458874458,15.0,17.479674796747968,21.176470588235293,25.070707070707066,22.112676056338028,21.142857142857142,24.48087431693989
2016-11-01,20.676968359087564,24.305555555555557,21.354166666666664,29.629629629629626,25.13123359580052,20.48929663608562,23.039215686274506,24.24242424242424,23.515981735159816,28.241949521322887,27.083333333333332,21.849593495934958,18.627450980392155,25.66056910569105,24.17840375586854,23.039215686274506,15.437158469945354
2016-12-01,20.566593083149375,30.555555555555557,17.708333333333332,24.999999999999996,24.540682414698157,18.82716049382716,24.01960784313726,20.120120120120117,20.11494252873563,23.809523809523814,22.916666666666664,16.428571428571427,19.791666666666664,25.52870090634441,21.19047619047619,17.142857142857142,23.224043715846992
2017-01-01,20.257542310522442,24.259259259259256,19.114583333333332,25.679012345679013,20.59288537549407,22.90909090909091,21.176470588235293,21.08108108108108,23.881278538812783,25.349040139616054,13.75,17.296747967479675,13.75,21.8338399189463,19.583333333333332,17.047619047619047,22.682926829268293
2017-02-01,20.464601769911503,27.77777777777778,25.781249999999996,26.234567901234566,24.733333333333327,17.27272727272727,23.529411764705884,23.573573573573572,20.890410958904106,28.138528138528134,15.885416666666666,21.443089430894307,24.50980392156863,29.103726082578042,20.657276995305164,20.476190476190474,21.68021680216802
2017-03-01,24.6119733924612,23.84259259259259,24.21875,22.53086419753086,25.721784776902883,18.80733944954128,30.392156862745097,25.3030303030303,27.625570776255707,27.705627705627705,22.39583333333333,24.79674796747967,38.09523809523809,28.45528455284553,15.509259259259258,29.047619047619044,26.558265582655824
2017-04-01,20.89036055923473,25.416666666666668,23.125,32.65432098765432,21.581699346405227,20.98765432098765,22.15686274509804,21.98198198198198,19.310344827586206,26.118363794604,11.09375,23.536585365853657,28.125,23.645518630412887,29.120370370370367,30.571428571428573,25.826558265582655
2017-05-01,26.266061980347693,32.62910798122066,20.370370370370367,29.87421383647798,30.784313725490197,25.229357798165136,26.470588235294116,28.078078078078075,28.04597701149425,33.03030303030303,28.57142857142857,27.947154471544714,33.33333333333333,31.736526946107784,25.342465753424655,36.666666666666664,28.333333333333332
2017-06-01,25.57027225901398,32.394366197183096,26.98412698412698,30.8641975308642,29.738562091503265,21.36363636363636,30.88235294117647,21.62162162162162,25.97701149425287,31.369982547993022,22.222222222222218,26.626016260162597,43.13725490196079,31.62134944612286,23.744292237442917,34.761904761904766,28.455284552845526
2017-07-01,22.671081677704194,24.929577464788732,24.126984126984127,27.77777777777778,22.349081364829395,18.425925925925927,27.941176470588236,21.666666666666664,24.873563218390807,27.16883116883117,18.73015873015873,19.146341463414632,24.705882352941178,23.694779116465863,20.13888888888889,30.0,28.251366120218577
2017-09-01,22.038263428991904,19.953051643192484,21.16402116402116,28.086419753086417,23.529411764705884,18.209876543209873,23.529411764705884,24.62462462462463,20.919540229885055,25.54112554112554,17.724867724867725,22.76422764227642,34.31372549019608,27.52752752752752,17.361111111111107,26.666666666666664,19.647696476964768
2017-10-01,20.353982300884955,16.8075117370892,22.91005291005291,27.40740740740741,21.443569553805776,15.229357798165138,20.58823529411765,22.642642642642638,19.563218390804597,25.477430555555554,19.682539682539684,22.378048780487806,17.058823529411764,20.36697247706422,21.99074074074074,32.857142857142854,22.68817204301075
