ANIO,TRIMESTRE,CCAA,SCORE_POLITICO_BRUTO,SCORE_MATERIAL_BRUTO,PESO,N_MUESTRA,ANCLAJE_SIN_SIMPATIA,ANCLAJE_NINGUN_PARTIDO,ANCLAJE_NINGUN_LIDER,FECHA,PRESION_AGENDA,SCORE_POLITICO_AJUSTADO,INDICE_ANCLAJE,INDICE_DESAFECCION_FINAL
2016,1,1.0,0.6868537666174298,39.26144756277696,1354.0,1354,0.2411504424778761,,,2016-01-01,0.3926144756277696,1.1308365758754864,24.11504424778761,10.058129959085502
2016,1,2.0,1.6203703703703705,35.370370370370374,216.0,216,0.16666666666666666,,,2016-01-01,0.35370370370370374,2.507163323782235,16.666666666666664,7.638888888888888
2016,1,3.0,0.15625,44.427083333333336,192.0,192,0.3125,,,2016-01-01,0.44427083333333334,0.28116213683223995,31.25,12.59375
2016,1,4.0,0.9493670886075949,31.518987341772153,158.0,158,0.22641509433962265,,,2016-01-01,0.31518987341772153,1.3863216266173752,22.641509433962266,9.626224026749464
2016,1,5.0,0.09404388714733543,42.789968652037615,319.0,319,0.17592592592592593,,,2016-01-01,0.42789968652037613,0.1643835616438356,17.59259259259259,7.0934633693254385
2016,1,6.0,0.6862745098039216,38.431372549019606,102.0,102,0.23529411764705882,,,2016-01-01,0.38431372549019605,1.1146496815286624,23.52941176470588,9.823529411764707
2016,1,7.0,0.7669616519174042,39.233038348082594,339.0,339,0.17699115044247787,,,2016-01-01,0.39233038348082594,1.2621359223300972,17.699115044247787,7.539823008849558
2016,1,8.0,0.6407322654462243,39.496567505720826,437.0,437,0.2328767123287671,,,2016-01-01,0.39496567505720825,1.0590015128593042,23.28767123287671,9.699507852418419
2016,1,9.0,1.6114982578397212,32.93554006968641,1148.0,1148,0.14360313315926893,,,2016-01-01,0.3293554006968641,2.402909468762177,14.360313315926893,6.71102428107459
2016,1,10.0,0.735873850197109,40.99868593955322,761.0,761,0.17254901960784313,,,2016-01-01,0.4099868593955322,1.247216035634744,17.254901960784313,7.343485094431991
2016,1,11.0,1.3020833333333333,48.020833333333336,192.0,192,0.09375,,,2016-01-01,0.48020833333333335,2.50501002004008,9.375,4.53125
2016,1,12.0,0.8669354838709677,42.54032258064516,496.0,496,0.2155688622754491,,,2016-01-01,0.4254032258064516,1.5087719298245614,21.55688622754491,9.142915781340545
2016,1,13.0,1.0104166666666667,35.5,960.0,960,0.21951219512195122,,,2016-01-01,0.355,1.5665374677002584,21.951219512195124,9.386737804878049
2016,1,14.0,0.23255813953488372,42.372093023255815,215.0,215,0.2361111111111111,,,2016-01-01,0.42372093023255814,0.4035512510088782,23.61111111111111,9.583979328165375
