Periodo,Dominio,Score,IPA27_Geom,IPA27_Aritm,Penalizacion_Deseq,Es_Cuello_Botella
2016Q1,Sociedades Inclusivas,60.17872727687655,52.10575955880799,53.074494948762435,0.9687353899544462,False
2016Q1,Economías Abiertas,39.43902362532588,52.10575955880799,53.074494948762435,0.9687353899544462,True
2016Q1,Personas Empoderadas,59.60573394408486,52.10575955880799,53.074494948762435,0.9687353899544462,False
2016Q2,Sociedades Inclusivas,60.24425915107365,52.117645435100144,53.072156353074384,0.9545109179742397,False
2016Q2,Economías Abiertas,39.534601753717205,52.117645435100144,53.072156353074384,0.9545109179742397,True
2016Q2,Personas Empoderadas,59.43760815443229,52.117645435100144,53.072156353074384,0.9545109179742397,False
2016Q3,Sociedades Inclusivas,57.72116376511883,51.11832839632096,52.09548633161722,0.9771579352962547,False
2016Q3,Economías Abiertas,38.57697040724298,51.11832839632096,52.09548633161722,0.9771579352962547,True
2016Q3,Personas Empoderadas,59.98832482248982,51.11832839632096,52.09548633161722,0.9771579352962547,False
2016Q4,Sociedades Inclusivas,60.07776305072265,51.98018803554348,53.03677002436397,1.05658198882049,False
2016Q4,Economías Abiertas,38.834415629059734,51.98018803554348,53.03677002436397,1.05658198882049,True
2016Q4,Personas Empoderadas,60.19813139330951,51.98018803554348,53.03677002436397,1.05658198882049,False
2017Q1,Sociedades Inclusivas,58.61729607716405,51.50949061218456,52.520712188702284,1.0112215765177268,False
2017Q1,Economías Abiertas,38.70128585571423,51.50949061218456,52.520712188702284,1.0112215765177268,True
2017Q1,Personas Empoderadas,60.24355463322858,51.50949061218456,52.520712188702284,1.0112215765177268,False
2017Q2,Sociedades Inclusivas,57.73791440410561,51.18469835523372,52.21814126184231,1.0334429066085917,False
2017Q2,Economías Abiertas,38.34072139952974,51.18469835523372,52.21814126184231,1.0334429066085917,True
2017Q2,Personas Empoderadas,60.57578798189159,51.18469835523372,52.21814126184231,1.0334429066085917,False
2017Q3,Sociedades Inclusivas,58.76262056670179,52.18849402542339,53.1779142041245,0.9894201787011099,False
2017Q3,Economías Abiertas,39.44135437843488,52.18849402542339,53.1779142041245,0.9894201787011099,True
2017Q3,Personas Empoderadas,61.32976766723682,52.18849402542339,53.1779142041245,0.9894201787011099,False
2017Q4,Sociedades Inclusivas,59.30978641542466,52.2593079101577,53.34187346009909,1.0825655499413855,False
2017Q4,Economías Abiertas,38.97645708248215,52.2593079101577,53.34187346009909,1.0825655499413855,True
2017Q4,Personas Empoderadas,61.73937688239045,52.2593079101577,53.34187346009909,1.0825655499413855,False
2018Q1,Sociedades Inclusivas,60.53590211968682,52.9395021938347,53.95311928800802,1.0136170941733198,False
2018Q1,Economías Abiertas,39.90508734084839,52.9395021938347,53.95311928800802,1.0136170941733198,True
2018Q1,Personas Empoderadas,61.41836840348885,52.9395021938347,53.95311928800802,1.0136170941733198,False
2018Q2,Sociedades Inclusivas,57.031584986829245,52.29107591763196,53.10314848814904,0.8120725705170813,False
2018Q2,Economías Abiertas,40.74107545839551,52.29107591763196,53.10314848814904,0.8120725705170813,True
2018Q2,Personas Empoderadas,61.53678501922237,52.29107591763196,53.10314848814904,0.8120725705170813,False
2018Q3,Sociedades Inclusivas,58.4562915169605,52.945638320909104,53.79979461313329,0.8541562922241823,False
2018Q3,Economías Abiertas,40.96726543740488,52.945638320909104,53.79979461313329,0.8541562922241823,True
2018Q3,Personas Empoderadas,61.97582688503448,52.945638320909104,53.79979461313329,0.8541562922241823,False
2018Q4,Sociedades Inclusivas,57.39570653168298,52.33154528203415,53.24314000920489,0.9115947271707441,False
2018Q4,Economías Abiertas,40.16281036384865,52.33154528203415,53.24314000920489,0.9115947271707441,True
2018Q4,Personas Empoderadas,62.17090313208306,52.33154528203415,53.24314000920489,0.9115947271707441,False
2019Q1,Sociedades Inclusivas,57.895429061545805,52.54882578290897,53.47198759720542,0.9231618142964493,False
2019Q1,Economías Abiertas,40.249029947715634,52.54882578290897,53.47198759720542,0.9231618142964493,True
2019Q1,Personas Empoderadas,62.27150378235483,52.54882578290897,53.47198759720542,0.9231618142964493,False
2019Q2,Sociedades Inclusivas,58.86436513963394,53.786282636820886,54.555442902529386,0.7691602657084999,False
2019Q2,Economías Abiertas,42.27835739338127,53.786282636820886,54.555442902529386,0.7691602657084999,True
2019Q2,Personas Empoderadas,62.52360617457292,53.786282636820886,54.555442902529386,0.7691602657084999,False
2019Q3,Sociedades Inclusivas,54.506556915018066,52.490776715816075,53.23604078151859,0.7452640657025142,False
2019Q3,Economías Abiertas,41.9491408954569,52.490776715816075,53.23604078151859,0.7452640657025142,True
2019Q3,Personas Empoderadas,63.25242453408079,52.490776715816075,53.23604078151859,0.7452640657025142,False
2019Q4,Sociedades Inclusivas,57.84273490491136,54.26284636166498,54.98646651051464,0.7236201488496619,False
2019Q4,Economías Abiertas,43.249551448206816,54.26284636166498,54.98646651051464,0.7236201488496619,True
2019Q4,Personas Empoderadas,63.86711317842574,54.26284636166498,54.98646651051464,0.7236201488496619,False
2020Q1,Sociedades Inclusivas,58.93970465389721,54.240746170693505,55.157432532073095,0.9166863613795897,False
2020Q1,Economías Abiertas,41.87353827186666,54.240746170693505,55.157432532073095,0.9166863613795897,True
2020Q1,Personas Empoderadas,64.65905467045543,54.240746170693505,55.157432532073095,0.9166863613795897,False
2020Q2,Sociedades Inclusivas,69.12323795393532,52.59745116133635,55.45003052031566,2.8525793589793054,False
2020Q2,Economías Abiertas,32.54549629196486,52.59745116133635,55.45003052031566,2.8525793589793054,True
2020Q2,Personas Empoderadas,64.6813573150468,52.59745116133635,55.45003052031566,2.8525793589793054,False
2020Q3,Sociedades Inclusivas,61.73036835676925,54.245398582924444,55.49792279028139,1.2525242073569487,False
2020Q3,Economías Abiertas,39.80900038828965,54.245398582924444,55.49792279028139,1.2525242073569487,True
2020Q3,Personas Empoderadas,64.95439962578527,54.245398582924444,55.49792279028139,1.2525242073569487,False
2020Q4,Sociedades Inclusivas,60.82827606047654,53.43393559803189,54.81327216248402,1.3793365644521316,False
