ESTU,FECHA,TERRITORIO,ABSTENCION_ESCALA,ABSTENCION_4CAT,N_4CAT,NO_VOTARIA,N_NO_VOTARIA,ABSTENCION_HOMOG,FUENTE_HOMOG
3492.0,2025-01,España,15.192641460944367,,,,,15.192641460944367,Escala 0-10
3496.0,2025-02,España,14.848084612375967,,,,,14.848084612375967,Escala 0-10
3502.0,2025-03,España,14.393237521907423,,,,,14.393237521907423,Escala 0-10
3505.0,2025-04,España,13.532707843113531,,,,,13.532707843113531,Escala 0-10
3510.0,2025-05,España,13.708792078348978,,,,,13.708792078348978,Escala 0-10
3514.0,2025-06,España,13.347938786020272,,,,,13.347938786020272,Escala 0-10
3517.0,2025-07,España,12.359502178976522,,,,,12.359502178976522,Escala 0-10
3524.0,2025-09,España,12.443712706403277,,,,,12.443712706403277,Escala 0-10
3528.0,2025-10,España,11.7939786016422,,,,,11.7939786016422,Escala 0-10
3530.0,2025-11,España,13.455351751961231,,,,,13.455351751961231,Escala 0-10
3536.0,2025-12,España,13.821339949128644,,,,,13.821339949128644,Escala 0-10
