Periodo,Año,Trimestre,Region,Categoria,Valor
2024-Q4,2024,4,ESP,"7. Robos con fuerza en domicilios, establecimientos y otras instalaciones",114978.0
2024-Q4,2024,4,ESP,7.1.-Robos con fuerza en domicilios,81040.0
2024-Q4,2024,4,ESP,8. Hurtos,649076.0
2024-Q4,2024,4,ESP,9. Sustracciones de vehÃ­culos,33061.0
2024-Q4,2024,4,ESP,10. TrÃ¡fico de drogas,21533.0
2024-Q4,2024,4,ESP,11. Resto de criminalidad convencional,1056364.0
2024-Q4,2024,4,ESP,II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),465838.0
2024-Q4,2024,4,ESP,12.-Estafas informÃ¡ticas,414133.0
2024-Q4,2024,4,ESP,13.-Otros ciberdelitos,51705.0
2024-Q4,2024,4,ESP,III. TOTAL INFRACCIONES PENALES,2456413.0
2024-Q4,2024,4,AND,I. CRIMINALIDAD CONVENCIONAL,328139.0
2024-Q4,2024,4,AND,1. Homicidios dolosos y asesinatos consumados,80.0
2024-Q4,2024,4,AND,2. Homicidios dolosos y asesinatos en grado tentativa,266.0
2024-Q4,2024,4,AND,3. Delitos graves y menos graves de lesiones y riÃ±a tumultuaria,5498.0
2024-Q4,2024,4,AND,4. Secuestro,27.0
2024-Q4,2024,4,AND,5. Delitos contra la libertad sexual,3155.0
2024-Q4,2024,4,AND,5.1.-AgresiÃ³n sexual con penetraciÃ³n,625.0
2024-Q4,2024,4,AND,5.2.-Resto de delitos contra la libertad sexual,2530.0
2024-Q4,2024,4,AND,6. Robos con violencia e intimidaciÃ³n,7423.0
2024-Q4,2024,4,AND,"7. Robos con fuerza en domicilios, establecimientos y otras instalaciones",18231.0
2024-Q4,2024,4,AND,7.1.-Robos con fuerza en domicilios,12790.0
2024-Q4,2024,4,AND,8. Hurtos,92545.0
2024-Q4,2024,4,AND,9. Sustracciones de vehÃ­culos,6075.0
2024-Q4,2024,4,AND,10. TrÃ¡fico de drogas,4343.0
2024-Q4,2024,4,AND,11. Resto de criminalidad convencional,190496.0
2024-Q4,2024,4,AND,II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),81559.0
2024-Q4,2024,4,AND,12.-Estafas informÃ¡ticas,71327.0
2024-Q4,2024,4,AND,13.-Otros ciberdelitos,10232.0
2024-Q4,2024,4,AND,III. TOTAL INFRACCIONES PENALES,409698.0
2024-Q3,2024,3,ESP,I. CRIMINALIDAD CONVENCIONAL,1506876.0
2024-Q3,2024,3,ESP,1. Homicidios dolosos y asesinatos consumados,269.0
2024-Q3,2024,3,ESP,2. Homicidios dolosos y asesinatos en grado tentativa,1056.0
2024-Q3,2024,3,ESP,3. Delitos graves y menos graves de lesiones y riÃ±a tumultuaria,22205.0
2024-Q3,2024,3,ESP,4. Secuestro,77.0
2024-Q3,2024,3,ESP,5. Delitos contra la libertad sexual,16010.0
2024-Q3,2024,3,ESP,5.1.-AgresiÃ³n sexual con penetraciÃ³n,3944.0
2024-Q3,2024,3,ESP,5.2.-Resto de delitos contra la libertad sexual,12066.0
2024-Q3,2024,3,ESP,6. Robos con violencia e intimidaciÃ³n,47849.0
2024-Q3,2024,3,ESP,"7. Robos con fuerza en domicilios, establecimientos y otras instalaciones",86756.0
2024-Q3,2024,3,ESP,7.1.-Robos con fuerza en domicilios,61078.0
2024-Q3,2024,3,ESP,8. Hurtos,491435.0
